"elementName", "elementContent", "typeAttributeIfPresent"
"persName", "you", "", "#minter_mary"
"persName", "you", "", "#minter_mary"
"persName", "you", "", "#minter_mary"
"persName", "you", "", "#minter_mary"
"persName", "you", "", "#minter_mary"
"persName", "you", "", "#minter_mary"
"persName", "you", "", "#minter_mary"
"persName", "your", "", "#minter_mary"
"persName", "your", "", "#minter_mary"
"persName", "your", "", "#minter_mary"
"persName", "your", "", "#minter_mary"
"persName", "your mother", "", "charlotte_shelbey"
"placeName", " home", "", ""
"placeName", " studio", "", ""
"placeName", "Cairo", "", ""
"placeName", "California", "", ""
"placeName", "Egypt", "", ""
"placeName", "France", "", ""
"placeName", "Hollywood Boulevard", "", ""
"placeName", "Hollywood Boulevard and Western Avenue", "", ""
"placeName", "Hollywood studio", "", ""
"placeName", "Lasky Studio", "", ""
"placeName", "Los Angeles", "", ""
"placeName", "Los Angeles", "", ""
"placeName", "Marshall's home on Sunset Boulevard", "", ""
"placeName", "Marshall's house", "", ""
"placeName", "New Hampshire house", "", ""
"placeName", "New York", "", ""
"placeName", "New York City", "", ""
"placeName", "Paris", "", ""
"placeName", "Pasadena", "", ""
"placeName", "Pasadena", "", ""
"placeName", "Realart Studio", "", ""
"placeName", "Realart Studio", "", ""
"placeName", "Salt Lake station", "", ""
"placeName", "Salt Lake Station", "", ""
"placeName", "Salt Lake Station", "", ""
"placeName", "Salt Lake Station", "", ""
"placeName", "Salt Lake station", "", ""
"placeName", "San Francisco", "", ""
"placeName", "San Francisco", "", ""
"placeName", "Santa Monica Boulevard, the Hollyood Studios", "", ""
"placeName", "Standard Garage", "", ""
"placeName", "Standard Garage", "", ""
"placeName", "Sunset Boulevard", "", ""
"placeName", "Sunset Inn", "", ""
"placeName", "Sunset Inn", "", ""
"placeName", "Sunset Inn", "", ""
"placeName", "Western Avenue", "", ""
"placeName", "apartment", "", ""
"placeName", "apartments", "", ""
"placeName", "club", "", ""
"placeName", "club", "", ""
"placeName", "garage", "", ""
"placeName", "garden", "", ""
"placeName", "his residence", "", ""
"placeName", "his home", "", ""
"placeName", "his house", "", ""
"placeName", "his mother's home", "", ""
"placeName", "his residence", "", ""
"placeName", "his residence?", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "house", "", ""
"placeName", "house", "", ""
"placeName", "jail", "", ""
"placeName", "location", "", ""
"placeName", "my house", "", ""
"placeName", "my house", "", ""
"placeName", "office", "", ""
"placeName", "old home", "", ""
"placeName", "on Santa Monica Boulevard", "", ""
"placeName", "our house", "", ""
"placeName", "present home", "", ""
"placeName", "room", "", ""
"placeName", "room", "", ""
"placeName", "shower", "", ""
"placeName", "somebody's house", "", ""
"placeName", "studio", "", ""
"placeName", "studio", "", ""
"placeName", "studio", "", ""
"placeName", "studio", "", ""
"placeName", "studio", "", ""
"placeName", "studio", "", ""
"placeName", "studio", "", ""
"placeName", "studio", "", ""
"placeName", "studio", "", ""
"placeName", "studio", "", ""
"placeName", "the house", "", ""
"placeName", "the house", "", ""
"placeName", "the office", "", ""
"placeName", "the studio", "", ""
"placeName", "the studio", "", ""
"placeName", "the studio", "", ""
"placeName", "the studio", "", ""
"placeName", "the studio", "", ""
"placeName", "the studio", "", ""
